date,open,high,low,close,volume,dividends,stock_splits
2023-03-03,92.74,94.94,92.66,94.9,55759600,0.0,0.0
2023-03-06,95.19,96.55,93.74,93.75,52112400,0.0,0.0
2023-03-07,94.06,95.09,92.78,93.55,49100700,0.0,0.0
2023-03-08,93.6,94.17,92.18,93.92,44899100,0.0,0.0
2023-03-09,93.68,96.21,92.18,92.25,56218700,0.0,0.0
2023-03-10,92.67,93.57,90.25,90.73,69827500,0.0,0.0
2023-03-13,89.97,94.02,88.12,92.43,72397100,0.0,0.0
2023-03-14,93.83,95.07,92.71,94.88,60912700,0.0,0.0
2023-03-15,93.22,96.67,93.07,96.2,70731800,0.0,0.0
2023-03-16,95.75,100.99,95.61,100.04,84446900,0.0,0.0
2023-03-17,99.79,100.66,97.46,98.95,87300200,0.0,0.0
2023-03-20,98.41,98.48,95.7,97.71,62388900,0.0,0.0
2023-03-21,98.14,100.85,98.0,100.61,58597300,0.0,0.0
2023-03-22,100.45,102.1,98.61,98.7,57475400,0.0,0.0
2023-03-23,100.43,101.06,97.62,98.71,57559300,0.0,0.0
2023-03-24,98.07,98.3,96.4,98.13,56095400,0.0,0.0
2023-03-27,99.07,99.34,97.08,98.04,46721300,0.0,0.0
2023-03-28,98.11,98.44,96.29,97.24,38720100,0.0,0.0
2023-03-29,98.69,100.42,98.56,100.25,49783300,0.0,0.0
2023-03-30,101.55,103.04,101.01,102.0,53633400,0.0,0.0
2023-03-31,102.16,103.49,101.95,103.29,56750300,0.0,0.0
2023-04-03,102.3,103.29,101.43,102.41,41135700,0.0,0.0
2023-04-04,102.75,104.2,102.11,103.95,48662500,0.0,0.0
2023-04-05,103.91,103.91,100.75,101.1,45175400,0.0,0.0
2023-04-06,100.75,102.38,99.8,102.06,43808000,0.0,0.0
2023-04-10,100.96,102.2,99.57,102.17,37261200,0.0,0.0
2023-04-11,100.8,101.0,99.01,99.92,60417800,0.0,0.0
2023-04-12,100.4,100.51,97.71,97.83,56735000,0.0,0.0
2023-04-13,98.95,102.57,98.71,102.4,67925100,0.0,0.0
2023-04-14,102.07,103.2,101.11,102.51,51450500,0.0,0.0
2023-04-17,103.16,103.73,101.59,102.74,39919500,0.0,0.0
2023-04-18,103.95,104.2,101.52,102.3,39790500,0.0,0.0
2023-04-19,101.58,105.12,101.39,104.3,58398900,0.0,0.0
2023-04-20,103.53,105.25,103.21,103.81,57696900,0.0,0.0
2023-04-21,106.1,108.15,105.08,106.96,86774200,0.0,0.0
2023-04-24,107.66,109.23,105.07,106.21,69575600,0.0,0.0
2023-04-25,104.91,105.45,102.45,102.57,65026800,0.0,0.0
2023-04-26,105.04,106.62,104.1,104.98,73803800,0.0,0.0
2023-04-27,108.16,110.86,106.8,109.82,149961200,0.0,0.0
2023-04-28,107.73,109.48,104.33,105.45,130565000,0.0,0.0
2023-05-01,104.95,105.23,101.82,102.05,74728100,0.0,0.0
2023-05-02,101.47,103.9,101.15,103.63,73469400,0.0,0.0
2023-05-03,103.74,105.96,103.28,103.65,65051900,0.0,0.0
2023-05-04,104.04,105.39,103.31,104.0,45345500,0.0,0.0
2023-05-05,104.27,105.76,103.55,105.66,56912900,0.0,0.0
2023-05-08,105.04,106.1,104.7,105.83,49430900,0.0,0.0
2023-05-09,105.48,106.79,105.16,106.62,44089400,0.0,0.0
2023-05-10,108.1,110.67,108.05,110.19,78627600,0.0,0.0
2023-05-11,111.03,113.28,110.49,112.18,74924800,0.0,0.0
2023-05-12,112.16,112.64,109.32,110.26,49810100,0.0,0.0
2023-05-15,111.15,112.29,109.25,111.2,53011100,0.0,0.0
2023-05-16,111.05,114.79,111.05,113.4,71472900,0.0,0.0
2023-05-17,114.89,115.83,114.22,115.5,65655200,0.0,0.0
2023-05-18,116.69,118.6,116.34,118.15,73174100,0.0,0.0
2023-05-19,118.16,118.31,115.7,116.25,54990200,0.0,0.0
2023-05-22,116.77,116.77,114.25,115.01,70741100,0.0,0.0
2023-05-23,114.27,117.14,113.78,114.99,67576300,0.0,0.0
2023-05-24,115.35,117.34,115.02,116.75,63487900,0.0,0.0
2023-05-25,116.63,116.87,114.31,115.0,66496700,0.0,0.0
2023-05-26,116.04,121.5,116.02,120.11,96779900,0.0,0.0
2023-05-30,122.37,122.92,119.86,121.66,64314800,0.0,0.0
2023-05-31,121.45,122.04,119.17,120.58,72800800,0.0,0.0
2023-06-01,120.69,123.49,119.93,122.77,54375100,0.0,0.0
2023-06-02,124.92,126.39,124.02,124.25,61215000,0.0,0.0
2023-06-05,123.36,125.8,123.03,125.3,47950100,0.0,0.0
2023-06-06,125.07,127.4,125.0,126.61,45695200,0.0,0.0
2023-06-07,127.01,127.37,120.63,121.23,95663300,0.0,0.0
2023-06-08,123.01,125.63,122.26,124.25,62159300,0.0,0.0
2023-06-09,124.08,125.8,123.19,123.43,51330000,0.0,0.0
2023-06-12,124.02,126.78,123.53,126.57,51338000,0.0,0.0
2023-06-13,128.12,128.41,125.18,126.66,50564800,0.0,0.0
2023-06-14,126.7,126.95,124.12,126.42,52422500,0.0,0.0
2023-06-15,125.21,127.69,124.32,127.11,60458500,0.0,0.0
2023-06-16,127.71,127.9,125.3,125.49,84188100,0.0,0.0
2023-06-20,124.97,127.25,124.5,125.78,56930100,0.0,0.0
2023-06-21,125.64,126.73,123.85,124.83,52137700,0.0,0.0
2023-06-22,125.31,130.33,125.14,130.15,90354600,0.0,0.0
2023-06-23,129.11,130.84,128.28,129.33,71855200,0.0,0.0
2023-06-26,129.33,131.49,127.1,127.33,59989300,0.0,0.0
2023-06-27,128.63,130.09,127.55,129.18,46801000,0.0,0.0
2023-06-28,128.94,131.48,128.44,129.04,52149500,0.0,0.0
2023-06-29,128.77,129.26,127.26,127.9,40761000,0.0,0.0
2023-06-30,129.47,131.25,128.95,130.36,54310500,0.0,0.0
2023-07-03,130.82,131.85,130.07,130.22,28264800,0.0,0.0
2023-07-05,130.24,131.4,129.64,130.38,35895400,0.0,0.0
2023-07-06,128.25,128.73,127.37,128.36,40639900,0.0,0.0
2023-07-07,128.59,130.97,128.13,129.78,41928700,0.0,0.0
2023-07-10,129.07,129.28,125.92,127.13,61889300,0.0,0.0
2023-07-11,127.75,129.77,127.35,128.78,49951500,0.0,0.0
2023-07-12,130.31,131.26,128.83,130.8,54022800,0.0,0.0
2023-07-13,134.04,134.67,132.71,134.3,61170900,0.0,0.0
2023-07-14,134.06,136.65,134.06,134.68,54388100,0.0,0.0
2023-07-17,134.56,135.62,133.21,133.56,48450200,0.0,0.0
2023-07-18,132.71,133.86,131.35,132.83,54969100,0.0,0.0
2023-07-19,133.39,135.99,132.53,135.36,54531000,0.0,0.0
2023-07-20,134.07,134.79,129.33,129.96,59820600,0.0,0.0
2023-07-21,131.34,131.37,128.42,130.0,133265000,0.0,0.0
2023-07-24,130.31,131.66,128.35,128.8,45591100,0.0,0.0
2023-07-25,129.31,129.58,128.53,129.13,39236700,0.0,0.0
2023-07-26,126.51,129.08,126.11,128.15,53910100,0.0,0.0
2023-07-27,131.0,132.63,127.79,128.25,52610700,0.0,0.0
2023-07-28,129.69,133.01,129.33,132.21,46317400,0.0,0.0
2023-07-31,133.2,133.87,132.38,133.68,41901500,0.0,0.0
2023-08-01,133.55,133.69,131.62,131.69,42098500,0.0,0.0
2023-08-02,130.15,130.23,126.82,128.21,51027600,0.0,0.0
2023-08-03,127.48,129.84,126.41,128.91,88585200,0.0,0.0
2023-08-04,141.06,143.63,139.32,139.57,152938700,0.0,0.0
2023-08-07,140.99,142.54,138.95,142.22,71213100,0.0,0.0
2023-08-08,140.62,140.84,138.42,139.94,51710500,0.0,0.0
2023-08-09,139.97,140.32,137.1,137.85,50017300,0.0,0.0
2023-08-10,139.07,140.41,137.49,138.56,58928400,0.0,0.0
2023-08-11,137.4,139.33,137.0,138.41,42832100,0.0,0.0
2023-08-14,138.3,140.59,137.75,140.57,47148700,0.0,0.0
2023-08-15,140.05,141.28,137.23,137.67,42781500,0.0,0.0
2023-08-16,137.19,137.27,135.01,135.07,41675900,0.0,0.0
2023-08-17,135.46,136.09,133.53,133.98,48354100,0.0,0.0
2023-08-18,131.62,134.07,131.15,133.22,48469400,0.0,0.0
2023-08-21,133.74,135.19,132.71,134.68,41442500,0.0,0.0
2023-08-22,135.08,135.65,133.73,134.25,32935100,0.0,0.0
2023-08-23,134.5,135.95,133.22,135.52,42801000,0.0,0.0
2023-08-24,136.4,136.78,131.83,131.84,43646300,0.0,0.0
2023-08-25,132.47,133.87,130.58,133.26,44147500,0.0,0.0
2023-08-28,133.78,133.95,131.85,133.14,34108400,0.0,0.0
2023-08-29,133.38,135.14,133.25,134.91,38646100,0.0,0.0
2023-08-30,134.93,135.68,133.92,135.07,36137000,0.0,0.0
2023-08-31,135.06,138.79,135.0,138.01,58781300,0.0,0.0
2023-09-01,139.46,139.96,136.88,138.12,40948300,0.0,0.0
2023-09-05,137.73,137.8,135.82,137.27,40636700,0.0,0.0
2023-09-06,136.32,137.45,134.61,135.36,41785500,0.0,0.0
2023-09-07,133.9,138.03,133.16,137.85,48498900,0.0,0.0
2023-09-08,136.86,138.85,136.75,138.23,38348200,0.0,0.0
2023-09-11,138.75,143.62,138.64,143.1,56764500,0.0,0.0
2023-09-12,142.32,143.0,140.61,141.23,42668500,0.0,0.0
2023-09-13,140.95,144.98,140.87,144.85,60465200,0.0,0.0
2023-09-14,145.08,145.86,142.95,144.72,64033600,0.0,0.0
2023-09-15,142.69,143.57,140.09,140.39,102861700,0.0,0.0
2023-09-18,140.48,141.75,139.22,139.98,42823500,0.0,0.0
2023-09-19,138.7,138.84,135.56,137.63,61482500,0.0,0.0
2023-09-20,138.55,139.37,135.2,135.29,46263700,0.0,0.0
2023-09-21,131.94,132.24,129.31,129.33,70234800,0.0,0.0
2023-09-22,131.11,132.03,128.52,129.12,59904300,0.0,0.0
2023-09-25,129.36,131.78,128.77,131.27,46017800,0.0,0.0
2023-09-26,130.12,130.39,125.28,125.98,73048200,0.0,0.0
2023-09-27,125.76,127.48,124.13,125.98,66553400,0.0,0.0
2023-09-28,124.04,126.58,123.04,125.98,54555000,0.0,0.0
2023-09-29,128.2,129.15,126.32,127.12,62377600,0.0,0.0
2023-10-02,127.28,130.47,126.54,129.46,48029700,0.0,0.0
2023-10-03,128.06,128.52,124.25,124.72,51565000,0.0,0.0
2023-10-04,126.06,127.36,125.68,127.0,44203900,0.0,0.0
2023-10-05,126.71,126.73,124.33,125.96,39660600,0.0,0.0
2023-10-06,124.16,128.45,124.13,127.96,46795900,0.0,0.0
2023-10-09,126.22,128.79,124.76,128.26,38773700,0.0,0.0
2023-10-10,128.82,130.74,128.05,129.48,42178600,0.0,0.0
2023-10-11,129.74,132.05,129.61,131.83,40741800,0.0,0.0
2023-10-12,132.17,134.48,131.23,132.33,55528600,0.0,0.0
2023-10-13,132.98,133.31,128.95,129.79,45786600,0.0,0.0
2023-10-16,130.69,133.07,130.43,132.55,42832900,0.0,0.0
2023-10-17,130.39,132.58,128.71,131.47,49344600,0.0,0.0
2023-10-18,129.9,130.67,127.51,128.13,42699500,0.0,0.0
2023-10-19,130.57,132.24,127.47,128.4,60961400,0.0,0.0
2023-10-20,128.05,128.17,124.97,125.17,56343300,0.0,0.0
2023-10-23,124.63,127.88,123.98,126.56,48260000,0.0,0.0
2023-10-24,127.74,128.8,126.34,128.56,46477400,0.0,0.0
2023-10-25,126.04,126.34,120.79,121.39,74577500,0.0,0.0
2023-10-26,120.63,121.64,118.35,119.57,100419500,0.0,0.0
2023-10-27,126.2,130.02,125.52,127.74,125309300,0.0,0.0
2023-10-30,129.72,133.0,128.56,132.71,72485500,0.0,0.0
2023-10-31,132.75,133.57,131.71,133.09,51589400,0.0,0.0
2023-11-01,133.96,137.35,133.71,137.0,61529400,0.0,0.0
2023-11-02,138.73,138.81,136.47,138.07,52236700,0.0,0.0
2023-11-03,138.99,139.49,137.45,138.6,44007200,0.0,0.0
2023-11-06,138.76,140.73,138.36,139.74,44970400,0.0,0.0
2023-11-07,140.55,143.37,140.5,142.71,53553500,0.0,0.0
2023-11-08,142.97,143.12,141.22,142.08,44521700,0.0,0.0
2023-11-09,142.02,142.65,139.84,140.6,36235400,0.0,0.0
2023-11-10,140.46,143.65,139.91,143.56,49287800,0.0,0.0
2023-11-13,142.08,143.23,140.67,142.59,35680600,0.0,0.0
2023-11-14,145.0,147.26,144.68,145.8,56674600,0.0,0.0
2023-11-15,147.06,147.29,142.59,143.2,63875700,0.0,0.0
2023-11-16,140.91,143.32,139.52,142.83,49653500,0.0,0.0
2023-11-17,142.66,145.23,142.54,145.18,49636700,0.0,0.0
2023-11-20,145.13,146.63,144.73,146.13,41951200,0.0,0.0
2023-11-21,143.91,144.05,141.5,143.9,71226000,0.0,0.0
2023-11-22,144.57,147.74,144.57,146.71,45669100,0.0,0.0
2023-11-24,146.7,147.2,145.32,146.74,22378400,0.0,0.0
2023-11-27,147.53,149.26,146.88,147.73,53762400,0.0,0.0
2023-11-28,146.98,147.6,145.53,147.03,42711700,0.0,0.0
2023-11-29,147.85,148.54,145.97,146.32,40610900,0.0,0.0
2023-11-30,144.76,146.93,144.33,146.09,65814000,0.0,0.0
2023-12-01,146.0,147.25,145.55,147.03,39924600,0.0,0.0
2023-12-04,145.25,145.35,142.81,144.84,48294200,0.0,0.0
2023-12-05,143.55,148.57,143.13,146.88,46822400,0.0,0.0
2023-12-06,147.58,147.85,144.28,144.52,39679000,0.0,0.0
2023-12-07,146.15,147.92,145.34,146.88,52352800,0.0,0.0
2023-12-08,145.48,147.84,145.4,147.42,41858000,0.0,0.0
2023-12-11,145.66,146.19,143.64,145.89,50907300,0.0,0.0
2023-12-12,145.52,147.5,145.3,147.48,44944300,0.0,0.0
2023-12-13,148.12,149.46,146.82,148.84,52766200,0.0,0.0
2023-12-14,149.93,150.54,145.52,147.42,58400800,0.0,0.0
2023-12-15,148.38,150.57,147.88,149.97,110039100,0.0,0.0
2023-12-18,150.56,154.85,150.05,154.07,62512800,0.0,0.0
2023-12-19,154.4,155.12,152.69,153.79,43171300,0.0,0.0
2023-12-20,152.9,155.63,151.56,152.12,50322100,0.0,0.0
2023-12-21,153.3,153.97,152.1,153.84,36305700,0.0,0.0
2023-12-22,153.77,154.35,152.71,153.42,29480100,0.0,0.0
2023-12-26,153.56,153.98,153.03,153.41,25067200,0.0,0.0
2023-12-27,153.56,154.78,153.12,153.34,31434700,0.0,0.0
2023-12-28,153.72,154.08,152.95,153.38,27057000,0.0,0.0
2023-12-29,153.1,153.89,151.03,151.94,39789000,0.0,0.0
